"TransactionID","Category","Product","TransactionDate","Quantity","Price","TotalValue","CustomerID","PaymentMethod","ShippingAddress","Email","OrderStatus","DiscountCode","PaymentAmount"
5275eb94-14ae-4f5c-a636-58c912d0498d,Toys,Action Figure,2024-06-21,2,347.15,694.3,204e178c-10d0-4d11-a5f9-34bf9bb96155,Bank Transfer,"254 Dennis Corner Suite 785
New Blake, RI 44590",ghill@hotmail.com,Pending,"",694.3
6bfc2a47-565f-4491-adb6-8b81cec68cfe,Toys,Action Figure,2024-09-05,1,151.85,151.85,679f2f42-9256-4707-9cc0-5b67a19b224a,Bank Transfer,"PSC 4113, Box 4078
APO AA 13683",Unknown,Pending,"",151.85
97790e84-5e47-4e22-b6c3-e6423e19fc1d,Toys,Action Figure,2024-08-29,3,12.12,36.36,c5c9fb91-ff6e-49ed-be4c-e29ff8cbab4c,Bank Transfer,"72311 Erik Turnpike Suite 128
Garyview, VT 91598",Unknown,Completed,"",36.36
e3236d1a-3c1b-4acc-98e1-93311dba1267,Unknown,Action Figure,2024-07-10,2,445.52,891.04,7421ff46-637e-4b01-a2ba-e10e899ca782,Bank Transfer,"08948 Smith Meadow Apt. 566
Davidhaven, NM 47879",whitakermegan@gmail.com,Completed,"",891.04
11defebf-9e98-461d-88fe-bf6d199c8d94,Toys,Action Figure,2024-04-01,1,119.7,119.7,7c6166df-515a-4b43-b189-1f48e66e2c11,Bank Transfer,"1528 Bowen Orchard
West Paul, GA 53408",Unknown,Completed,"",119.7
f10bce9c-582b-41ee-b8e8-035b0c00988a,Health,Bandages,2024-07-11,3,44.18,132.54,c92a7d7c-6193-4990-abdd-1a8fa4b05c89,Bank Transfer,"180 Hopkins Pike Suite 543
Rhondamouth, WI 47944",jgreen@yahoo.com,Completed,"",132.54
fab1996a-2192-4613-9247-e8512e0d3860,Health,Bandages,2024-06-24,4,158.69,634.76,d06eccbc-3a83-49b6-af9e-7a0e936db4a7,Bank Transfer,"96304 Espinoza Fields
South Chelseabury, VA 71977",halelinda@williams.info,Unknown,"",634.76
89a3c811-895c-4fde-a3fa-40691519fd38,Health,Bandages,2024-06-05,5,468.89,2344.45,15669e36-4708-403b-a716-10c19db54283,Bank Transfer,"6553 Fernandez Club Apt. 538
North Tina, NY 93346",roththomas@kelley.com,Completed,"",2344.45
c9c1ad45-f4ea-4b97-aaa4-15b56336c815,Health,Bandages,2024-05-28,3,391.98,1175.94,f740d87c-500a-474e-af65-e8ccf9cf8499,Bank Transfer,"6114 Heather Walks Suite 288
Shepardton, MN 83139",Unknown,Pending,"",1175.94
f85b6d0a-54b5-4635-bdab-161452150ed8,Health,Bandages,2024-07-09,2,102.0,204,39034b65-81c6-4eeb-8ce3-c8c847354e4f,Bank Transfer,"7385 Perez Points Apt. 119
East Robert, IL 61722",emilylopez@haney-hardy.com,Completed,"",204.0
a85c6e4a-004b-4fab-bcf5-6188d32e6dcd,Books,Biography,2024-07-18,3,151.86,455.58000000000004,69ca97d2-7644-44fd-8ae7-69edde8ede0b,Bank Transfer,"64236 Andrew Fords Apt. 664
North Kenneth, NE 96955",shane49@watkins.com,Pending,"",455.58
d3b59af7-67ce-478f-a5a4-983ba383889a,Books,Biography,2024-11-28,3,136.89,410.66999999999996,1634725b-53f3-4073-83e9-6ef46d7df5d0,Bank Transfer,"USCGC Richardson
FPO AA 51774",jgill@williams-curry.biz,Completed,DISCOUNT55Ds,410.67
adf9568b-de0b-4e18-99e1-10eb1f096b9d,Books,Biography,2024-06-08,1,55.79,55.79,93acb00e-32ee-4b38-9b07-07e5f68ece81,Bank Transfer,"987 Martinez Plaza
Port Kennethstad, WY 12682",pmay@thomas.org,Completed,DISCOUNT51Hs,55.79
f6a9e3e3-b62b-4cb1-8956-0c3685609e8a,Books,Biography,2024-09-11,2,295.54,591.08,c60b340c-f21a-4f38-8eb5-e5a798f3f640,Bank Transfer,"36914 Davis Rue
East Williamfort, OR 35944",cainroger@bailey.org,Completed,"",591.08
edef5003-1fce-41e3-842b-03ca75a72686,Books,Biography,2024-11-20,5,30.02,150.1,74de5f70-70f8-4dba-a871-9b9bdb8f0e32,Bank Transfer,"0702 Williams Lane
East Craig, IN 12575",pricejoshua@wilson-curry.info,Pending,"",150.1
1690636b-6f74-455d-99a9-af6aed054732,Unknown,Biography,Unknown,4,451.35,1805.4,5eef0d1e-38c5-4f5e-8359-ff43106793b6,Bank Transfer,"Unit 8018 Box 6448
DPO AE 21566",heathercochran@yahoo.com,Pending,"",1805.4
b0117b0a-3496-41d6-a790-55b06001f54d,Books,Biography,2024-01-03,1,39.76,39.76,5cbdb682-68aa-4236-90de-ef43cde5c35a,Bank Transfer,"857 Warner Ranch Suite 703
New Adamborough, WI 26763",gregorydavis@watson.com,Completed,"",39.76
